Task 1 Model 1:
0 ['2.300']
10 ['2.298']
20 ['2.272']
30 ['2.243']
40 ['2.184']
50 ['2.098']
60 ['1.977']
70 ['1.717']
80 ['1.450']
90 ['1.352']
100 ['1.113']
110 ['0.859']
120 ['0.729']
130 ['0.863']
140 ['0.585']
150 ['0.563']
160 ['0.562']
170 ['0.513']
180 ['0.498']
190 ['0.469']
200 ['0.491']
210 ['0.546']
220 ['0.339']
230 ['0.339']
240 ['0.337']
250 ['0.264']
260 ['0.390']
270 ['0.304']
280 ['0.300']
290 ['0.469']
300 ['0.485']
310 ['0.221']
320 ['0.418']
330 ['0.269']
340 ['0.280']
350 ['0.396']
360 ['0.257']
370 ['0.441']
380 ['0.261']
390 ['0.203']
400 ['0.304']
410 ['0.196']
420 ['0.351']
430 ['0.391']
440 ['0.168']
450 ['0.229']
460 ['0.399']
Train: [1][469/469]	loss 0.255 (0.756)	Acc@1 93.750 (80.000)
Test model 1 on task 1
Test: [3/3]	loss 0.328 (0.308)	Acc@1 90.597 (91.110)
############################################################ Avg acc: 91.11
Task 2 Model 1:
0 ['0.314', '3.115']
Train: [1][469/469]	loss 0.288 (0.396)	Acc@1 91.667 (86.630)
Test model 1 on task 1
Test: [3/3]	loss 0.361 (0.314)	Acc@1 89.712 (90.550)
Test model 1 on task 2
Test: [3/3]	loss 0.299 (0.294)	Acc@1 91.869 (91.470)
############################################################ Avg acc: 91.01
Task 3 Model 1:
0 ['0.304', '2.654']
10 ['0.328', '1.595']
20 ['0.327', '0.987']
30 ['0.326', '0.719']
40 ['0.325', '0.877']
50 ['0.328', '0.598']
60 ['0.327', '0.605']
70 ['0.326', '0.488']
80 ['0.326', '0.595']
90 ['0.329', '0.462']
100 ['0.328', '0.573']
110 ['0.326', '0.452']
120 ['0.326', '0.405']
130 ['0.327', '0.423']
140 ['0.326', '0.349']
150 ['0.327', '0.441']
160 ['0.326', '0.489']
170 ['0.326', '0.352']
180 ['0.325', '0.377']
190 ['0.325', '0.464']
200 ['0.326', '0.477']
210 ['0.326', '0.402']
220 ['0.327', '0.407']
230 ['0.327', '0.436']
240 ['0.326', '0.490']
250 ['0.326', '0.565']
260 ['0.326', '0.445']
270 ['0.326', '0.430']
280 ['0.326', '0.418']
290 ['0.326', '0.405']
300 ['0.327', '0.293']
310 ['0.325', '0.481']
320 ['0.326', '0.439']
330 ['0.327', '0.496']
340 ['0.327', '0.299']
350 ['0.325', '0.302']
360 ['0.325', '0.330']
370 ['0.325', '0.411']
380 ['0.325', '0.280']
390 ['0.325', '0.332']
400 ['0.326', '0.429']
410 ['0.326', '0.264']
420 ['0.325', '0.429']
430 ['0.326', '0.271']
440 ['0.325', '0.220']
450 ['0.326', '0.408']
460 ['0.325', '0.345']
Train: [1][469/469]	loss 0.203 (0.273)	Acc@1 91.667 (85.297)
Test model 1 on task 1
Test: [3/3]	loss 0.322 (0.324)	Acc@1 90.155 (90.290)
Test model 1 on task 2
Test: [3/3]	loss 0.300 (0.295)	Acc@1 91.869 (91.290)
Test model 1 on task 3
Test: [3/3]	loss 0.327 (0.321)	Acc@1 89.989 (90.660)
############################################################ Avg acc: 90.75
Task 4 Model 1:
0 ['0.335', '3.384']
10 ['0.429', '2.055']
20 ['0.382', '1.295']
30 ['0.383', '0.857']
40 ['0.380', '0.692']
50 ['0.379', '0.760']
60 ['0.379', '0.602']
70 ['0.377', '0.607']
80 ['0.377', '0.650']
90 ['0.377', '0.461']
100 ['0.377', '0.584']
110 ['0.376', '0.476']
120 ['0.377', '0.532']
130 ['0.376', '0.605']
140 ['0.376', '0.428']
150 ['0.376', '0.545']
160 ['0.377', '0.616']
170 ['0.377', '0.552']
180 ['0.375', '0.474']
190 ['0.375', '0.360']
200 ['0.376', '0.248']
210 ['0.376', '0.392']
220 ['0.375', '0.392']
230 ['0.375', '0.390']
240 ['0.376', '0.398']
250 ['0.376', '0.347']
260 ['0.375', '0.494']
270 ['0.374', '0.400']
280 ['0.375', '0.304']
290 ['0.375', '0.417']
300 ['0.376', '0.425']
310 ['0.377', '0.397']
320 ['0.377', '0.439']
330 ['0.377', '0.486']
340 ['0.376', '0.366']
350 ['0.375', '0.443']
360 ['0.374', '0.461']
370 ['0.375', '0.353']
380 ['0.374', '0.272']
390 ['0.377', '0.385']
400 ['0.375', '0.476']
410 ['0.374', '0.346']
420 ['0.375', '0.365']
430 ['0.375', '0.340']
440 ['0.374', '0.318']
450 ['0.374', '0.351']
460 ['0.375', '0.302']
Train: [1][469/469]	loss 0.192 (0.229)	Acc@1 90.625 (84.107)
Test model 1 on task 1
Test: [3/3]	loss 0.326 (0.330)	Acc@1 89.491 (89.860)
Test model 1 on task 2
Test: [3/3]	loss 0.306 (0.301)	Acc@1 91.150 (91.160)
Test model 1 on task 3
Test: [3/3]	loss 0.315 (0.322)	Acc@1 90.929 (90.460)
Test model 1 on task 4
Test: [3/3]	loss 0.363 (0.341)	Acc@1 89.768 (90.220)
############################################################ Avg acc: 90.42
Task 5 Model 1:
0 ['0.355', '3.350']
10 ['0.542', '2.421']
20 ['0.432', '1.378']
30 ['0.418', '1.005']
40 ['0.417', '0.997']
50 ['0.417', '0.809']
60 ['0.417', '0.873']
70 ['0.415', '0.640']
80 ['0.416', '0.500']
90 ['0.416', '0.625']
100 ['0.417', '0.558']
110 ['0.418', '0.574']
120 ['0.418', '0.460']
130 ['0.418', '0.593']
140 ['0.417', '0.449']
150 ['0.417', '0.484']
160 ['0.417', '0.483']
170 ['0.417', '0.496']
180 ['0.416', '0.432']
190 ['0.418', '0.471']
200 ['0.416', '0.426']
210 ['0.416', '0.476']
220 ['0.416', '0.509']
230 ['0.416', '0.475']
240 ['0.418', '0.506']
250 ['0.417', '0.393']
260 ['0.417', '0.330']
270 ['0.416', '0.489']
280 ['0.417', '0.390']
290 ['0.416', '0.456']
300 ['0.418', '0.464']
310 ['0.416', '0.515']
320 ['0.416', '0.378']
330 ['0.416', '0.444']
340 ['0.416', '0.365']
350 ['0.416', '0.384']
360 ['0.416', '0.447']
370 ['0.416', '0.494']
380 ['0.416', '0.382']
390 ['0.417', '0.351']
400 ['0.416', '0.388']
410 ['0.415', '0.373']
420 ['0.415', '0.334']
430 ['0.414', '0.388']
440 ['0.415', '0.344']
450 ['0.414', '0.401']
460 ['0.414', '0.445']
Train: [1][469/469]	loss 0.152 (0.203)	Acc@1 90.625 (82.152)
Test model 1 on task 1
Test: [3/3]	loss 0.313 (0.338)	Acc@1 90.210 (89.610)
Test model 1 on task 2
Test: [3/3]	loss 0.316 (0.308)	Acc@1 90.487 (90.920)
Test model 1 on task 3
Test: [3/3]	loss 0.330 (0.330)	Acc@1 90.597 (90.300)
Test model 1 on task 4
Test: [3/3]	loss 0.386 (0.344)	Acc@1 88.274 (90.110)
Test model 1 on task 5
Test: [3/3]	loss 0.356 (0.369)	Acc@1 89.934 (89.690)
############################################################ Avg acc: 90.13
Task 6 Model 1:
0 ['0.385', '4.324']
10 ['0.680', '2.574']
20 ['0.513', '1.880']
30 ['0.494', '1.167']
40 ['0.494', '1.098']
50 ['0.491', '0.870']
60 ['0.481', '0.814']
70 ['0.480', '0.668']
80 ['0.480', '0.762']
90 ['0.480', '0.656']
100 ['0.481', '0.640']
110 ['0.480', '0.569']
120 ['0.479', '0.641']
130 ['0.480', '0.458']
140 ['0.480', '0.675']
150 ['0.482', '0.573']
160 ['0.480', '0.530']
170 ['0.480', '0.469']
180 ['0.479', '0.440']
190 ['0.479', '0.507']
200 ['0.480', '0.559']
210 ['0.479', '0.643']
220 ['0.479', '0.613']
230 ['0.478', '0.485']
240 ['0.479', '0.504']
250 ['0.479', '0.488']
260 ['0.479', '0.671']
270 ['0.479', '0.465']
280 ['0.478', '0.714']
290 ['0.478', '0.514']
300 ['0.478', '0.481']
310 ['0.478', '0.492']
320 ['0.478', '0.479']
330 ['0.478', '0.600']
340 ['0.477', '0.497']
350 ['0.477', '0.399']
360 ['0.477', '0.419']
370 ['0.477', '0.420']
380 ['0.477', '0.466']
390 ['0.476', '0.514']
400 ['0.477', '0.574']
410 ['0.478', '0.578']
420 ['0.478', '0.399']
430 ['0.477', '0.396']
440 ['0.477', '0.387']
450 ['0.478', '0.406']
460 ['0.476', '0.482']
Train: [1][469/469]	loss 0.149 (0.194)	Acc@1 90.625 (79.665)
Test model 1 on task 1
Test: [3/3]	loss 0.319 (0.350)	Acc@1 89.989 (89.150)
Test model 1 on task 2
Test: [3/3]	loss 0.288 (0.319)	Acc@1 91.593 (90.290)
Test model 1 on task 3
Test: [3/3]	loss 0.318 (0.340)	Acc@1 90.487 (90.180)
Test model 1 on task 4
Test: [3/3]	loss 0.363 (0.354)	Acc@1 88.440 (89.710)
Test model 1 on task 5
Test: [3/3]	loss 0.346 (0.376)	Acc@1 89.712 (89.260)
Test model 1 on task 6
Test: [3/3]	loss 0.401 (0.408)	Acc@1 88.993 (88.490)
############################################################ Avg acc: 89.51
Task 7 Model 1:
0 ['0.424', '3.133']
10 ['0.475', '2.427']
20 ['0.475', '1.411']
30 ['0.501', '1.237']
40 ['0.511', '0.925']
50 ['0.517', '0.997']
60 ['0.521', '0.904']
70 ['0.523', '0.800']
80 ['0.524', '0.703']
90 ['0.525', '0.693']
100 ['0.527', '0.571']
110 ['0.527', '0.612']
120 ['0.526', '0.555']
130 ['0.527', '0.529']
140 ['0.526', '0.473']
150 ['0.527', '0.585']
160 ['0.527', '0.566']
170 ['0.529', '0.593']
180 ['0.529', '0.527']
190 ['0.527', '0.549']
200 ['0.527', '0.440']
210 ['0.527', '0.538']
220 ['0.527', '0.558']
230 ['0.527', '0.600']
240 ['0.526', '0.437']
250 ['0.526', '0.494']
260 ['0.526', '0.646']
270 ['0.526', '0.522']
280 ['0.526', '0.446']
290 ['0.526', '0.535']
300 ['0.526', '0.458']
310 ['0.525', '0.496']
320 ['0.526', '0.534']
330 ['0.526', '0.408']
340 ['0.528', '0.555']
350 ['0.526', '0.461']
360 ['0.526', '0.531']
370 ['0.525', '0.507']
380 ['0.525', '0.372']
390 ['0.525', '0.402']
400 ['0.525', '0.517']
410 ['0.525', '0.408']
420 ['0.524', '0.384']
430 ['0.524', '0.419']
440 ['0.524', '0.387']
450 ['0.524', '0.385']
460 ['0.525', '0.432']
Train: [1][469/469]	loss 0.147 (0.169)	Acc@1 84.375 (79.772)
Test model 1 on task 1
Test: [3/3]	loss 0.385 (0.356)	Acc@1 88.219 (88.870)
Test model 1 on task 2
Test: [3/3]	loss 0.300 (0.326)	Acc@1 90.487 (90.110)
Test model 1 on task 3
Test: [3/3]	loss 0.346 (0.347)	Acc@1 89.823 (89.650)
Test model 1 on task 4
Test: [3/3]	loss 0.348 (0.358)	Acc@1 89.878 (89.450)
Test model 1 on task 5
Test: [3/3]	loss 0.395 (0.381)	Acc@1 87.666 (88.830)
Test model 1 on task 6
Test: [3/3]	loss 0.394 (0.411)	Acc@1 89.325 (88.300)
Test model 1 on task 7
Test: [3/3]	loss 0.397 (0.415)	Acc@1 88.938 (87.860)
############################################################ Avg acc: 89.01
Task 8 Model 1:
0 ['0.438', '3.819']
10 ['0.499', '2.549']
20 ['0.529', '1.829']
30 ['0.550', '1.366']
40 ['0.553', '1.036']
50 ['0.559', '0.942']
60 ['0.562', '1.005']
70 ['0.563', '0.863']
80 ['0.562', '0.930']
90 ['0.563', '0.746']
100 ['0.566', '0.731']
110 ['0.566', '0.700']
120 ['0.566', '0.792']
130 ['0.567', '0.629']
140 ['0.567', '0.805']
150 ['0.568', '0.642']
160 ['0.569', '0.678']
170 ['0.568', '0.693']
180 ['0.569', '0.701']
190 ['0.569', '0.594']
200 ['0.570', '0.642']
210 ['0.569', '0.658']
220 ['0.569', '0.508']
230 ['0.570', '0.597']
240 ['0.570', '0.602']
250 ['0.569', '0.618']
260 ['0.571', '0.552']
270 ['0.570', '0.403']
280 ['0.570', '0.528']
290 ['0.570', '0.431']
300 ['0.569', '0.388']
310 ['0.570', '0.486']
320 ['0.570', '0.513']
330 ['0.571', '0.489']
340 ['0.570', '0.520']
350 ['0.571', '0.574']
360 ['0.571', '0.590']
370 ['0.570', '0.564']
380 ['0.570', '0.404']
390 ['0.570', '0.564']
400 ['0.570', '0.531']
410 ['0.570', '0.306']
420 ['0.570', '0.581']
430 ['0.571', '0.536']
440 ['0.570', '0.487']
450 ['0.570', '0.482']
460 ['0.570', '0.435']
Train: [1][469/469]	loss 0.138 (0.162)	Acc@1 83.333 (78.068)
Test model 1 on task 1
Test: [3/3]	loss 0.382 (0.362)	Acc@1 88.440 (88.670)
Test model 1 on task 2
Test: [3/3]	loss 0.353 (0.335)	Acc@1 89.436 (89.930)
Test model 1 on task 3
Test: [3/3]	loss 0.351 (0.352)	Acc@1 89.325 (89.370)
Test model 1 on task 4
Test: [3/3]	loss 0.409 (0.369)	Acc@1 87.500 (89.140)
Test model 1 on task 5
Test: [3/3]	loss 0.391 (0.387)	Acc@1 88.827 (88.590)
Test model 1 on task 6
Test: [3/3]	loss 0.427 (0.412)	Acc@1 86.836 (87.960)
Test model 1 on task 7
Test: [3/3]	loss 0.429 (0.416)	Acc@1 87.445 (87.680)
Test model 1 on task 8
Test: [3/3]	loss 0.469 (0.455)	Acc@1 86.007 (87.230)
############################################################ Avg acc: 88.57
Task 9 Model 1:
0 ['0.481', '3.643']
10 ['0.549', '2.871']
20 ['0.567', '2.160']
30 ['0.603', '1.709']
40 ['0.617', '1.250']
50 ['0.630', '1.261']
60 ['0.635', '1.026']
70 ['0.638', '0.980']
80 ['0.643', '0.837']
90 ['0.644', '0.869']
100 ['0.646', '0.924']
110 ['0.651', '0.747']
120 ['0.646', '0.740']
130 ['0.645', '0.673']
140 ['0.647', '0.739']
150 ['0.647', '0.568']
160 ['0.647', '0.666']
170 ['0.647', '0.642']
180 ['0.648', '0.694']
190 ['0.648', '0.639']
200 ['0.649', '0.593']
210 ['0.651', '0.583']
220 ['0.650', '0.765']
230 ['0.651', '0.785']
240 ['0.651', '0.559']
250 ['0.650', '0.633']
260 ['0.651', '0.630']
270 ['0.651', '0.622']
280 ['0.652', '0.574']
290 ['0.651', '0.564']
300 ['0.650', '0.605']
310 ['0.651', '0.676']
320 ['0.650', '0.602']
330 ['0.651', '0.494']
340 ['0.649', '0.597']
350 ['0.650', '0.590']
360 ['0.650', '0.523']
370 ['0.650', '0.589']
380 ['0.650', '0.474']
390 ['0.649', '0.544']
400 ['0.648', '0.493']
410 ['0.648', '0.550']
420 ['0.648', '0.554']
430 ['0.648', '0.430']
440 ['0.648', '0.618']
450 ['0.648', '0.490']
460 ['0.647', '0.544']
Train: [1][469/469]	loss 0.107 (0.161)	Acc@1 94.792 (75.923)
Test model 1 on task 1
Test: [3/3]	loss 0.370 (0.362)	Acc@1 88.606 (88.580)
Test model 1 on task 2
Test: [3/3]	loss 0.309 (0.341)	Acc@1 91.261 (89.620)
Test model 1 on task 3
Test: [3/3]	loss 0.340 (0.360)	Acc@1 89.215 (89.130)
Test model 1 on task 4
Test: [3/3]	loss 0.388 (0.375)	Acc@1 88.440 (88.860)
Test model 1 on task 5
Test: [3/3]	loss 0.395 (0.390)	Acc@1 87.445 (88.640)
Test model 1 on task 6
Test: [3/3]	loss 0.421 (0.416)	Acc@1 88.274 (88.070)
Test model 1 on task 7
Test: [3/3]	loss 0.407 (0.421)	Acc@1 87.777 (87.410)
Test model 1 on task 8
Test: [3/3]	loss 0.471 (0.459)	Acc@1 86.283 (87.020)
Test model 1 on task 9
Test: [3/3]	loss 0.491 (0.494)	Acc@1 87.168 (86.530)
############################################################ Avg acc: 88.21
Task 10 Model 1:
0 ['0.522', '3.986']
10 ['0.608', '3.042']
20 ['0.636', '2.193']
30 ['0.676', '1.702']
40 ['0.694', '1.589']
50 ['0.701', '1.219']
60 ['0.707', '1.113']
70 ['0.713', '1.212']
80 ['0.721', '0.940']
90 ['0.726', '0.918']
100 ['0.728', '0.956']
110 ['0.731', '0.908']
120 ['0.733', '0.858']
130 ['0.735', '0.838']
140 ['0.735', '0.803']
150 ['0.738', '0.749']
160 ['0.738', '0.711']
170 ['0.739', '0.769']
180 ['0.742', '0.913']
190 ['0.740', '0.844']
200 ['0.741', '0.695']
210 ['0.742', '0.607']
220 ['0.743', '0.647']
230 ['0.744', '0.766']
240 ['0.744', '0.731']
250 ['0.744', '0.754']
260 ['0.745', '0.701']
270 ['0.744', '0.729']
280 ['0.746', '0.659']
290 ['0.746', '0.560']
300 ['0.744', '0.675']
310 ['0.745', '0.673']
320 ['0.746', '0.562']
330 ['0.746', '0.749']
340 ['0.746', '0.532']
350 ['0.746', '0.565']
360 ['0.745', '0.570']
370 ['0.745', '0.633']
380 ['0.744', '0.581']
390 ['0.744', '0.687']
400 ['0.745', '0.534']
410 ['0.744', '0.678']
420 ['0.744', '0.654']
430 ['0.743', '0.630']
440 ['0.744', '0.587']
450 ['0.743', '0.555']
460 ['0.743', '0.600']
Train: [1][469/469]	loss 0.130 (0.163)	Acc@1 82.292 (72.657)
Test model 1 on task 1
Test: [3/3]	loss 0.357 (0.371)	Acc@1 88.330 (88.360)
Test model 1 on task 2
Test: [3/3]	loss 0.331 (0.349)	Acc@1 90.321 (89.270)
Test model 1 on task 3
Test: [3/3]	loss 0.380 (0.364)	Acc@1 88.274 (88.960)
Test model 1 on task 4
Test: [3/3]	loss 0.397 (0.382)	Acc@1 87.998 (88.490)
Test model 1 on task 5
Test: [3/3]	loss 0.359 (0.397)	Acc@1 89.657 (88.420)
Test model 1 on task 6
Test: [3/3]	loss 0.427 (0.425)	Acc@1 87.666 (87.600)
Test model 1 on task 7
Test: [3/3]	loss 0.430 (0.425)	Acc@1 87.168 (87.270)
Test model 1 on task 8
Test: [3/3]	loss 0.463 (0.467)	Acc@1 86.615 (86.610)
Test model 1 on task 9
Test: [3/3]	loss 0.493 (0.498)	Acc@1 85.951 (86.080)
Test model 1 on task 10
Test: [3/3]	loss 0.540 (0.547)	Acc@1 84.513 (84.270)
############################################################ Avg acc: 87.53
Task 11 Model 1:
0 ['0.583', '3.895']
10 ['0.644', '2.757']
20 ['0.711', '1.962']
30 ['0.742', '1.688']
40 ['0.743', '1.324']
50 ['0.751', '1.243']
60 ['0.759', '1.057']
70 ['0.768', '1.056']
80 ['0.775', '1.010']
90 ['0.780', '1.002']
100 ['0.782', '0.973']
110 ['0.786', '1.059']
120 ['0.790', '0.859']
130 ['0.793', '1.014']
140 ['0.793', '0.759']
150 ['0.793', '0.794']
160 ['0.794', '0.694']
170 ['0.795', '0.894']
180 ['0.796', '0.714']
190 ['0.797', '0.851']
200 ['0.799', '0.785']
210 ['0.800', '0.841']
220 ['0.800', '0.821']
230 ['0.801', '0.749']
240 ['0.801', '0.821']
250 ['0.800', '0.660']
260 ['0.800', '0.635']
270 ['0.799', '0.737']
280 ['0.799', '0.711']
290 ['0.799', '0.767']
300 ['0.799', '0.733']
310 ['0.800', '0.653']
320 ['0.800', '0.700']
330 ['0.801', '0.740']
340 ['0.800', '0.596']
350 ['0.800', '0.761']
360 ['0.800', '0.624']
370 ['0.800', '0.704']
380 ['0.800', '0.672']
390 ['0.801', '0.565']
400 ['0.801', '0.756']
410 ['0.800', '0.692']
420 ['0.801', '0.618']
430 ['0.799', '0.754']
440 ['0.800', '0.603']
450 ['0.799', '0.562']
460 ['0.799', '0.511']
Train: [1][469/469]	loss 0.132 (0.154)	Acc@1 81.250 (72.142)
Test model 1 on task 1
Test: [3/3]	loss 0.353 (0.376)	Acc@1 88.551 (88.130)
Test model 1 on task 2
Test: [3/3]	loss 0.367 (0.356)	Acc@1 88.717 (89.190)
Test model 1 on task 3
Test: [3/3]	loss 0.363 (0.368)	Acc@1 88.551 (88.780)
Test model 1 on task 4
Test: [3/3]	loss 0.410 (0.390)	Acc@1 86.560 (88.240)
Test model 1 on task 5
Test: [3/3]	loss 0.402 (0.403)	Acc@1 87.334 (88.090)
Test model 1 on task 6
Test: [3/3]	loss 0.464 (0.429)	Acc@1 86.781 (87.380)
Test model 1 on task 7
Test: [3/3]	loss 0.433 (0.431)	Acc@1 87.223 (87.060)
Test model 1 on task 8
Test: [3/3]	loss 0.457 (0.470)	Acc@1 86.947 (86.560)
Test model 1 on task 9
Test: [3/3]	loss 0.494 (0.499)	Acc@1 85.454 (85.990)
Test model 1 on task 10
Test: [3/3]	loss 0.550 (0.546)	Acc@1 85.177 (84.300)
Test model 1 on task 11
Test: [3/3]	loss 0.586 (0.582)	Acc@1 83.905 (83.130)
############################################################ Avg acc: 86.99
Task 12 Model 1:
0 ['0.613', '3.617']
10 ['0.665', '2.939']
20 ['0.724', '2.155']
30 ['0.771', '1.734']
40 ['0.800', '1.282']
50 ['0.817', '1.425']
60 ['0.828', '1.275']
70 ['0.837', '1.178']
80 ['0.842', '1.005']
90 ['0.847', '0.932']
100 ['0.852', '0.865']
110 ['0.854', '0.953']
120 ['0.857', '0.874']
130 ['0.858', '0.969']
140 ['0.860', '1.018']
150 ['0.862', '0.909']
160 ['0.864', '0.851']
170 ['0.865', '0.943']
180 ['0.866', '0.742']
190 ['0.867', '0.818']
200 ['0.868', '0.811']
210 ['0.868', '0.876']
220 ['0.870', '0.855']
230 ['0.867', '0.743']
240 ['0.866', '0.705']
250 ['0.868', '0.697']
260 ['0.868', '0.726']
270 ['0.868', '0.788']
280 ['0.868', '0.649']
290 ['0.869', '0.838']
300 ['0.869', '0.598']
310 ['0.870', '0.593']
320 ['0.869', '0.739']
330 ['0.869', '0.865']
340 ['0.869', '0.618']
350 ['0.868', '0.613']
360 ['0.868', '0.592']
370 ['0.868', '0.632']
380 ['0.869', '0.816']
390 ['0.868', '0.659']
400 ['0.867', '0.537']
410 ['0.868', '0.667']
420 ['0.867', '0.597']
430 ['0.868', '0.563']
440 ['0.865', '0.631']
450 ['0.865', '0.752']
460 ['0.866', '0.560']
Train: [1][469/469]	loss 0.129 (0.150)	Acc@1 78.125 (70.362)
Test model 1 on task 1
Test: [3/3]	loss 0.417 (0.382)	Acc@1 87.223 (87.960)
Test model 1 on task 2
Test: [3/3]	loss 0.349 (0.364)	Acc@1 90.044 (88.830)
Test model 1 on task 3
Test: [3/3]	loss 0.370 (0.374)	Acc@1 89.215 (88.760)
Test model 1 on task 4
Test: [3/3]	loss 0.406 (0.399)	Acc@1 87.777 (87.980)
Test model 1 on task 5
Test: [3/3]	loss 0.405 (0.409)	Acc@1 87.777 (87.850)
Test model 1 on task 6
Test: [3/3]	loss 0.448 (0.432)	Acc@1 87.777 (87.140)
Test model 1 on task 7
Test: [3/3]	loss 0.449 (0.437)	Acc@1 87.445 (87.000)
Test model 1 on task 8
Test: [3/3]	loss 0.471 (0.476)	Acc@1 85.951 (86.120)
Test model 1 on task 9
Test: [3/3]	loss 0.520 (0.508)	Acc@1 84.900 (85.510)
Test model 1 on task 10
Test: [3/3]	loss 0.564 (0.543)	Acc@1 82.743 (84.250)
Test model 1 on task 11
Test: [3/3]	loss 0.576 (0.579)	Acc@1 82.467 (83.060)
Test model 1 on task 12
Test: [3/3]	loss 0.606 (0.620)	Acc@1 82.467 (81.660)
############################################################ Avg acc: 86.34
Task 13 Model 1:
0 ['0.640', '3.385']
10 ['0.679', '2.855']
20 ['0.724', '2.264']
30 ['0.776', '1.841']
40 ['0.807', '1.631']
50 ['0.830', '1.352']
60 ['0.840', '1.285']
70 ['0.849', '1.151']
80 ['0.857', '1.251']
90 ['0.865', '1.008']
100 ['0.870', '1.055']
110 ['0.877', '1.063']
120 ['0.880', '1.017']
130 ['0.881', '0.979']
140 ['0.884', '0.898']
150 ['0.887', '0.852']
160 ['0.892', '0.958']
170 ['0.895', '0.840']
180 ['0.894', '0.964']
190 ['0.896', '1.029']
200 ['0.898', '0.824']
210 ['0.899', '0.882']
220 ['0.901', '0.849']
230 ['0.903', '0.814']
240 ['0.904', '0.855']
250 ['0.905', '0.722']
260 ['0.905', '0.805']
270 ['0.906', '0.798']
280 ['0.906', '0.805']
290 ['0.907', '0.696']
300 ['0.907', '0.749']
310 ['0.907', '0.744']
320 ['0.906', '0.682']
330 ['0.905', '0.740']
340 ['0.905', '0.809']
350 ['0.905', '0.538']
360 ['0.907', '0.778']
370 ['0.907', '0.750']
380 ['0.908', '0.524']
390 ['0.907', '0.649']
400 ['0.907', '0.664']
410 ['0.906', '0.808']
420 ['0.907', '0.674']
430 ['0.908', '0.717']
440 ['0.909', '0.598']
450 ['0.908', '0.622']
460 ['0.906', '0.791']
Train: [1][469/469]	loss 0.126 (0.143)	Acc@1 81.250 (69.025)
Test model 1 on task 1
Test: [3/3]	loss 0.362 (0.388)	Acc@1 87.942 (87.650)
Test model 1 on task 2
Test: [3/3]	loss 0.386 (0.372)	Acc@1 88.551 (88.550)
Test model 1 on task 3
Test: [3/3]	loss 0.393 (0.381)	Acc@1 88.385 (88.510)
Test model 1 on task 4
Test: [3/3]	loss 0.395 (0.405)	Acc@1 88.108 (87.790)
Test model 1 on task 5
Test: [3/3]	loss 0.411 (0.418)	Acc@1 87.500 (87.540)
Test model 1 on task 6
Test: [3/3]	loss 0.444 (0.439)	Acc@1 86.947 (86.800)
Test model 1 on task 7
Test: [3/3]	loss 0.462 (0.442)	Acc@1 86.007 (86.550)
Test model 1 on task 8
Test: [3/3]	loss 0.463 (0.484)	Acc@1 86.228 (85.980)
Test model 1 on task 9
